FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value
ENSMUSG00000036256,Igfbp7,2.706328471,2.153601017,0.182144345,0.607242562,-2.153601017,0.182144345
ENSMUSG00000026864,Hspa5,2.68499328,-0.672572368,0.411225315,4.287278813,0.672572368,0.411225315
ENSMUSG00000025393,Atp5b,2.670814831,-1.312240583,0.076359895,6.645526033,1.312240583,0.076359895
ENSMUSG00000090862,Rps13,2.642322898,0.176464251,1,2.341176144,-0.176464251,1
ENSMUSG00000022587,Ly6e,2.641377668,0.336147865,1,2.094864904,-0.336147865,1
ENSMUSG00000028367,Txn1,2.641107603,-1.102540082,0.144224539,5.682229599,1.102540082,0.144224539
ENSMUSG00000031447,Lamp1,2.631655303,-0.870805783,0.266125721,4.821359621,0.870805783,0.266125721
ENSMUSG00000062647,Rpl7a,2.625308759,0.520948825,1,1.831482587,-0.520948825,1
ENSMUSG00000025508,Rplp2,2.618152017,0.179815938,1,2.314350167,-0.179815938,1
ENSMUSG00000030654,Arl6ip1,2.593576038,-0.215801453,0.853968069,3.01670301,0.215801453,0.853968069
ENSMUSG00000024646,Cyb5a,2.57521157,-1.931324893,0.00394257,9.842694704,1.931324893,0.00394257
ENSMUSG00000029810,Tmem176b,2.569270124,-1.444433579,0.046338725,7.006457355,1.444433579,0.046338725
ENSMUSG00000004610,Etfb,2.546584604,0.075966606,1,2.419215349,-0.075966606,1
ENSMUSG00000071644,Eef1g,2.54212852,0.515362372,1,1.780269359,-0.515362372,1
ENSMUSG00000014313,Cox6c,2.48581982,-1.091349228,0.149336564,5.306665926,1.091349228,0.149336564
ENSMUSG00000027602,Map1lc3a,2.479878374,-1.387136777,0.05767704,6.499202524,1.387136777,0.05767704
ENSMUSG00000060586,H2-Eb1,2.466510122,3.165347594,0.037912778,0.273137217,-3.165347594,0.037912778
ENSMUSG00000032518,Rpsa,2.450981343,0.314637254,1,1.972928646,-0.314637254,1
ENSMUSG00000052146,Rps10,2.408986126,0.140911684,0.976906444,2.187536459,-0.140911684,0.976906444
ENSMUSG00000021250,Fos,2.396968202,-0.505911837,0.557377451,3.409337759,0.505911837,0.557377451
ENSMUSG00000020571,Pdia6,2.394942709,-0.458897271,0.601945941,3.297156402,0.458897271,0.601945941
ENSMUSG00000015932,Dstn,2.381979555,-0.890534652,0.25377919,4.423847422,0.890534652,0.25377919
ENSMUSG00000046727,Cystm1,2.377523471,-1.371833434,0.061048536,6.165097179,1.371833434,0.061048536
ENSMUSG00000030934,Oat,2.365775612,2.667984113,0.080916786,0.370686223,-2.667984113,0.080916786
ENSMUSG00000028639,Ybx1,2.341334666,-1.440548446,0.047088758,6.367511366,1.440548446,0.047088758
ENSMUSG00000032231,Anxa2,2.307846518,-2.473157685,5.11E-05,12.84232664,2.473157685,5.11E-05
ENSMUSG00000029455,Aldh2,2.297719053,-0.864929292,0.26874586,4.192168532,0.864929292,0.26874586
ENSMUSG00000061232,H2-K1,2.291642575,0.843269808,0.804636562,1.277891978,-0.843269808,0.804636562
ENSMUSG00000040653,Ppp1r14c,2.284620867,0.852648593,0.794641993,1.265698353,-0.852648593,0.794641993
ENSMUSG00000028234,Rps20,2.284350801,0.702418356,0.91518008,1.404705686,-0.702418356,0.91518008
ENSMUSG00000031029,Eif3f,2.283810669,0.225248544,1,1.95585757,-0.225248544,1
ENSMUSG00000022174,Dad1,2.268957055,-1.24081698,0.097099391,5.372511505,1.24081698,0.097099391
ENSMUSG00000021660,Btf3,2.266391431,-0.436893186,0.624333696,3.072793689,0.436893186,0.624333696
ENSMUSG00000032554,Trf,2.256804099,2.999362883,0.049923365,0.280453392,-2.999362883,0.049923365
ENSMUSG00000024810,Il33,2.255993901,4.156386168,0.007647997,0.124374983,-4.156386168,0.007647997
ENSMUSG00000073702,Rpl31,2.252348014,0.216056702,1,1.941225219,-0.216056702,1
ENSMUSG00000023944,Hsp90ab1,2.243975977,-2.930188562,2.83E-07,17.14179908,2.930188562,2.83E-07
ENSMUSG00000000563,Atp5f1,2.241680419,-0.371524633,0.689955115,2.904521653,0.371524633,0.689955115
ENSMUSG00000030695,Aldoa,2.232498185,-1.648626877,0.018960579,7.013773531,1.648626877,0.018960579
ENSMUSG00000052837,Junb,2.232363152,-0.467840984,0.595603546,3.09230349,0.467840984,0.595603546
ENSMUSG00000020585,Laptm4a,2.218589801,-0.486964997,0.575368587,3.114252016,0.486964997,0.575368587
ENSMUSG00000037072,15-Sep,2.212918421,-0.69454729,0.39250704,3.587364695,0.69454729,0.39250704
ENSMUSG00000048758,Rpl29,2.207382074,-0.246061377,0.822271398,2.621629536,0.246061377,0.822271398
ENSMUSG00000060743,H3f3a,2.201440628,-1.052700141,0.167282729,4.575048381,1.052700141,0.167282729
ENSMUSG00000057863,Rpl36,2.200900497,0.285883425,1,1.807095336,-0.285883425,1
ENSMUSG00000003072,Atp5d,2.190097868,0.129312036,0.964958685,2.004632073,-0.129312036,0.964958685
